X,Y,z
-1.09376117140905,-1.3913749950206298,0
-1.21934820797723,-1.3002099995224599,0
-2.40417847693719,-0.506771438338144,0
-2.3487730044532498,-2.54530385251841,0
-0.8245843136874641,-1.92365627514351,0
-1.74206931420479,-1.9092092569029298,0
-0.863864706131314,-1.8053493530988003,0
-1.5297277497136,-1.57972233419575,0
-0.8043706609956579,-0.48377716762448,0
-1.8698320551687801,-1.7012683490468001,0
-0.783363707023104,-1.06475933235297,0
-2.8392743034010204,-1.7199278418135802,0
-1.7147176348696298,-0.69804804948519,0
-0.9406000463205071,-2.4603389326095804,0
-0.05118270663887001,-1.23391703897017,0
-0.9969124478681719,-2.20166001103542,0
-1.2440249613157799,-2.0355968382031597,0
-1.6505421619801102,-1.59806547992437,0
-1.20693349097057,-0.844138094356741,0
-1.8486195711258502,-1.3755081072653201,0
-1.32079165384487,-0.9793857344430809,0
-1.54690726843314,-1.5490926312497801,0
-2.11110883631983,-2.18581248094639,0
-1.67718037995471,-1.10374835304065,0
-2.0472693077182798,-1.1982900075368799,0
-1.1540450863703702,-1.22422289198705,0
-2.28367309348607,-1.6703306438692298,0
-2.50128810103904,-1.79168347136291,0
-1.9040584860168999,-0.9698413755217719,0
-1.34747886581127,-1.44988937798051,0
-1.5781747277348,-0.9448490591559158,0
-1.25680357392331,-1.46617798769748,0
-1.1140140369962301,-2.0092064709603403,0
-2.2404017706870296,-0.60571877663473,0
-0.970389158526847,-0.43971750649241603,0
-0.114558321580975,-0.7737497028716009,0
-1.3485424925174498,-1.58924696850871,0
-1.9124725805957699,-1.3917772681094098,0
-1.4070427594159902,-1.89510575844339,0
-1.88670585629678,-1.89343782447943,0
-0.7638358201297579,-1.3357289802835801,0
-0.09587893293668902,-1.64307974054833,0
-2.06959398428929,-0.797553369433047,0
-1.48361033821951,-1.2598184329058402,0
-1.6814920612834299,-1.07121311566144,0
-1.4650848136276102,-2.50672820729508,0
-0.568963275358876,-0.34148771225310304,0
-1.9722478890479898,-1.39916101736066,0
-1.45956914610039,-0.665857022248914,0
-0.410538221433175,-0.610622838421494,0
-1.48362107426083,-1.3677994574264898,0
-0.281998079401644,-0.954601832638902,0
-1.88832686607914,-1.80984869629247,0
-1.6097842652394398,-1.52372809957157,0
